Year,Economy,Economy Label,CargoType,CargoType Label,Metric tons in millions,Metric tons in millions Footnote,Metric tons in millions Missing value
2006,1420,Developing economies: Americas,23,Dry cargo discharged,263.676,,
2006,1420,Developing economies: Americas,20,Total goods discharged,389.139,,
2006,1460,Developing economies: Asia and Oceania,11,Crude oil loaded,926.448,,
2006,1460,Developing economies: Asia and Oceania,12,Other tanker trade loaded,324.087,,
2006,1460,Developing economies: Asia and Oceania,13,Dry cargo loaded,1585.59,,
2006,1460,Developing economies: Asia and Oceania,10,Total goods loaded,2836.126,,
2006,1460,Developing economies: Asia and Oceania,21,Crude oil discharged,444.808,,
2006,1460,Developing economies: Asia and Oceania,22,Other tanker trade discharged,236.667,,
2006,1460,Developing economies: Asia and Oceania,23,Dry cargo discharged,1681.307,,
2006,1460,Developing economies: Asia and Oceania,20,Total goods discharged,2362.781,,
2006,1430,Developing economies: Asia,11,Crude oil loaded,925.243,,
2006,1430,Developing economies: Asia,12,Other tanker trade loaded,323.852,,
2006,1430,Developing economies: Asia,13,Dry cargo loaded,1581.152,,
