"Date","Price","Open","High","Low","Vol.","Change %"
"22/07/2021","593.00","593.00","593.00","593.00","","0.34%"
"21/07/2021","591.00","591.00","591.00","591.00","","0.17%"
"20/07/2021","590.00","590.00","590.00","590.00","","0.00%"
"19/07/2021","590.00","590.00","590.00","590.00","","0.17%"
"16/07/2021","589.00","589.00","589.00","589.00","","0.68%"
"15/07/2021","585.00","585.00","585.00","585.00","","0.86%"
"14/07/2021","580.00","580.00","580.00","580.00","","-0.34%"
"13/07/2021","582.00","582.00","582.00","582.00","","-0.17%"
"12/07/2021","583.00","583.00","583.00","583.00","","-0.51%"
"09/07/2021","586.00","586.00","586.00","586.00","","-0.34%"
"08/07/2021","588.00","588.00","588.00","588.00","","0.00%"
"07/07/2021","588.00","588.00","588.00","588.00","","-0.51%"
"06/07/2021","591.00","591.00","591.00","591.00","","0.85%"
"05/07/2021","586.00","586.00","586.00","586.00","","-0.68%"
"02/07/2021","590.00","590.00","590.00","590.00","","-0.34%"
"01/07/2021","592.00","592.00","592.00","592.00","","-1.00%"
"30/06/2021","598.00","598.00","598.00","598.00","","-1.16%"
"29/06/2021","605.00","605.00","605.00","605.00","","-1.47%"
"28/06/2021","614.00","614.00","614.00","614.00","","-1.60%"
"25/06/2021","624.00","624.00","624.00","624.00","","0.00%"
"24/06/2021","624.00","624.00","624.00","624.00","","0.48%"
"23/06/2021","621.00","621.00","621.00","621.00","","0.98%"
"22/06/2021","615.00","615.00","615.00","615.00","","1.82%"
"21/06/2021","604.00","604.00","604.00","604.00","","2.03%"
"18/06/2021","592.00","592.00","592.00","592.00","","0.68%"
"17/06/2021","588.00","588.00","588.00","588.00","","0.34%"
"16/06/2021","586.00","586.00","586.00","586.00","","0.51%"
"15/06/2021","583.00","583.00","583.00","583.00","","0.17%"
"14/06/2021","582.00","582.00","582.00","582.00","","0.17%"
"11/06/2021","581.00","581.00","581.00","581.00","","0.17%"
"10/06/2021","580.00","580.00","580.00","580.00","","-0.17%"
"09/06/2021","581.00","581.00","581.00","581.00","","0.35%"
"08/06/2021","579.00","579.00","579.00","579.00","","-0.69%"
"07/06/2021","583.00","583.00","583.00","583.00","","-0.34%"
"04/06/2021","585.00","585.00","585.00","585.00","","-0.68%"
"03/06/2021","589.00","589.00","589.00","589.00","","-1.01%"
"02/06/2021","595.00","595.00","595.00","595.00","","-0.50%"
"01/06/2021","598.00","598.00","598.00","598.00","","-0.99%"
"28/05/2021","604.00","604.00","604.00","604.00","","-0.17%"
"27/05/2021","605.00","605.00","605.00","605.00","","-0.82%"
"26/05/2021","610.00","610.00","610.00","610.00","","-0.65%"
"25/05/2021","614.00","614.00","614.00","614.00","","0.16%"
"24/05/2021","613.00","613.00","613.00","613.00","","-0.33%"
"21/05/2021","615.00","615.00","615.00","615.00","","0.82%"
"20/05/2021","610.00","610.00","610.00","610.00","","0.66%"
"19/05/2021","606.00","606.00","606.00","606.00","","-0.82%"
"18/05/2021","611.00","611.00","611.00","611.00","","0.16%"
"17/05/2021","610.00","610.00","610.00","610.00","","0.00%"
"14/05/2021","610.00","610.00","610.00","610.00","","0.00%"
"13/05/2021","610.00","610.00","610.00","610.00","","-0.49%"
"12/05/2021","613.00","613.00","613.00","613.00","","1.16%"
"11/05/2021","606.00","606.00","606.00","606.00","","0.17%"
"10/05/2021","605.00","605.00","605.00","605.00","","-0.33%"
"07/05/2021","607.00","607.00","607.00","607.00","","0.50%"
"06/05/2021","604.00","604.00","604.00","604.00","","0.00%"
"05/05/2021","604.00","604.00","604.00","604.00","","0.33%"
"04/05/2021","602.00","602.00","602.00","602.00","","-0.66%"
"30/04/2021","606.00","606.00","606.00","606.00","","0.17%"
"29/04/2021","605.00","605.00","605.00","605.00","","0.17%"
"28/04/2021","604.00","604.00","604.00","604.00","","0.17%"
"27/04/2021","603.00","603.00","603.00","603.00","","0.00%"
"26/04/2021","603.00","603.00","603.00","603.00","","-0.17%"
"23/04/2021","604.00","604.00","604.00","604.00","","-0.17%"
"22/04/2021","605.00","605.00","605.00","605.00","","0.33%"
"21/04/2021","603.00","603.00","603.00","603.00","","0.50%"
"20/04/2021","600.00","600.00","600.00","600.00","","-0.50%"
"19/04/2021","603.00","603.00","603.00","603.00","","-0.33%"
"16/04/2021","605.00","605.00","605.00","605.00","","-0.49%"
"15/04/2021","608.00","608.00","608.00","608.00","","-0.65%"
"14/04/2021","612.00","612.00","612.00","612.00","","-0.33%"
"13/04/2021","614.00","614.00","614.00","614.00","","-2.38%"
"12/04/2021","629.00","629.00","629.00","629.00","","-2.63%"
"09/04/2021","646.00","646.00","646.00","646.00","","-1.82%"
"08/04/2021","658.00","658.00","658.00","658.00","","-2.52%"
"07/04/2021","675.00","675.00","675.00","675.00","","-1.46%"
"06/04/2021","685.00","685.00","685.00","685.00","","-2.00%"
"01/04/2021","699.00","699.00","699.00","699.00","","-1.55%"
"31/03/2021","710.00","710.00","710.00","710.00","","-3.66%"
"30/03/2021","737.00","737.00","737.00","737.00","","-3.66%"
"29/03/2021","765.00","765.00","765.00","765.00","","0.00%"
"26/03/2021","765.00","765.00","765.00","765.00","","2.27%"
"25/03/2021","748.00","748.00","748.00","748.00","","0.67%"
"24/03/2021","743.00","743.00","743.00","743.00","","-0.54%"
"23/03/2021","747.00","747.00","747.00","747.00","","0.13%"
"22/03/2021","746.00","746.00","746.00","746.00","","-0.27%"
"19/03/2021","748.00","748.00","748.00","748.00","","-0.66%"
"18/03/2021","753.00","753.00","753.00","753.00","","0.94%"
"17/03/2021","746.00","746.00","746.00","746.00","","0.54%"
"16/03/2021","742.00","742.00","742.00","742.00","","2.06%"
"15/03/2021","727.00","727.00","727.00","727.00","","0.83%"
"12/03/2021","721.00","721.00","721.00","721.00","","0.14%"
"11/03/2021","720.00","720.00","720.00","720.00","","1.98%"
"10/03/2021","706.00","706.00","706.00","706.00","","1.44%"
"09/03/2021","696.00","696.00","696.00","696.00","","3.57%"
